Date,FaceBook Close Price,Amazon Close Price,Netflix Close Price,Google Close Price
1/13/2015 ,76.45,294.74,46.2557,496.18
1/14/2015 ,76.28,293.27,46.32,500.87
1/15/2015 ,74.05,286.95,46.25,501.79
1/16/2015 ,75.18,290.74,48.19,508.08
1/20/2015 ,76.24,289.44,49.8,506.9
1/21/2015 ,76.74,297.25,58.47,518.04
1/22/2015 ,77.65,310.32,61.21,534.39
1/23/2015 ,77.83,312.39,62.494,539.95
1/26/2015 ,77.495,309.66,63.79,535.21
1/27/2015 ,75.78,306.75,64.88,518.63
1/28/2015 ,76.24,303.91,63.21,510
1/29/2015 ,78,311.78,63.4,510.66
1/30/2015 ,75.91,354.53,63.1143,534.52
2/2/2015 ,74.99,364.47,63.009,528.48
2/3/2015 ,75.4,363.55,65.27,529.24
2/4/2015 ,75.63,364.75,64.1014,522.76
2/5/2015 ,75.615,373.89,64.13,527.58
2/6/2015 ,74.47,374.28,63.48,531
2/9/2015 ,74.44,370.56,63.295,527.83
2/10/2015 ,75.19,372.995,64.85,536.94
2/11/2015 ,76.51,375.14,64.98,535.97
2/12/2015 ,76.23,377.17,65.25,542.93
2/13/2015 ,75.74,381.83,66.5857,549.01
2/17/2015 ,75.6,375.43,67.14,542.84
2/18/2015 ,76.71,373.37,67.87,539.7
2/19/2015 ,79.42,378.995,67.8,542.87
2/20/2015 ,79.895,383.66,68.3143,538.95
2/23/2015 ,78.84,380.14,67.4057,531.91
2/24/2015 ,78.45,378.59,67.84,536.09
2/25/2015 ,79.56,385.37,68.33,543.87
2/26/2015 ,80.41,384.8,69.004,555.48
2/27/2015 ,78.97,380.16,67.84,558.4
3/2/2015 ,79.75,385.655,68.61,571.34
3/3/2015 ,79.6,384.61,67.816,573.64
3/4/2015 ,80.895,382.72,67.11,573.37
3/5/2015 ,81.21,387.83,66.8071,575.33
3/6/2015 ,80.005,380.09,64.8743,567.685
3/9/2015 ,79.44,378.56,63.66,568.85
3/10/2015 ,77.55,369.51,62.15,555.01
3/11/2015 ,77.57,366.37,62.884,551.18
3/12/2015 ,78.93,374.24,64.05,555.51
3/13/2015 ,78.05,370.58,62.63,547.32
3/16/2015 ,78.07,373.35,60.28,554.51
3/17/2015 ,79.365,371.92,59.79,550.84
3/18/2015 ,80.91,375.135,60.45,559.5
3/19/2015 ,82.75,373.24,60.7443,557.99
3/20/2015 ,83.8,378.49,61.185,560.36
3/23/2015 ,84.43,375.11,60.714,558.81
3/24/2015 ,85.31,374.09,62.611,570.19
3/25/2015 ,82.92,370.96,60.25,558.785
3/26/2015 ,83.01,367.35,59.75,555.17
3/27/2015 ,83.3,370.56,59.25,548.34
3/30/2015 ,83.195,374.59,60.37,552.03
3/31/2015 ,82.215,372.1,59.5271,548
4/1/2015 ,81.665,370.255,59.02,542.56
4/2/2015 ,81.555,372.25,59.15,535.53
4/6/2015 ,82.44,377.04,60.33,536.765
4/7/2015 ,82.32,374.41,60.49,537.02
4/8/2015 ,82.275,381.2,63.05,541.61
4/9/2015 ,82.17,383.54,62.79,540.78
4/10/2015 ,82.04,382.65,64.94,540.01
4/13/2015 ,83.01,382.36,67.81,539.17
